REKENING LAMA,REKENING BARU,NAMA REKENING BELANJA DAERAH,KODE KOMPONEN,TA,B1,B2,JENIS,FORMULIR
0,5,BELANJA DAERAH,,2026,,,,5 - BELANJA DAERAH
0,5.1,BELANJA OPERASI,,2026,,,,5.1 - BELANJA OPERASI
0,5.1.01,Belanja Pegawai,,2026,,,,5.1.01 - Belanja Pegawai
0,5.1.01.01,Belanja Gaji dan Tunjangan ASN,,2026,,,,5.1.01.01 - Belanja Gaji dan Tunjangan ASN
5.1.01.01.01,5.1.01.01.001,Belanja Gaji Pokok ASN,,2026,,,,5.1.01.01.001 - Belanja Gaji Pokok ASN
5.1.01.01.01.0001,5.1.01.01.001.00001,Belanja Gaji Pokok PNS,8.1.01.01.01.0001,2026,,,SBU,5.1.01.01.001.00001 - Belanja Gaji Pokok PNS
5.1.01.01.01.0002,5.1.01.01.001.00002,Belanja Gaji Pokok PPPK,8.1.01.01.01.0002,2026,,,SBU,5.1.01.01.001.00002 - Belanja Gaji Pokok PPPK
5.1.01.01.02,5.1.01.01.002,Belanja Tunjangan Keluarga ASN,,2026,,,,5.1.01.01.002 - Belanja Tunjangan Keluarga ASN
5.1.01.01.02.0001,5.1.01.01.002.00001,Belanja Tunjangan Keluarga PNS,8.1.01.01.02.0001,2026,,,SBU,5.1.01.01.002.00001 - Belanja Tunjangan Keluarga PNS
5.1.01.01.02.0002,5.1.01.01.002.00002,Belanja Tunjangan Keluarga PPPK,8.1.01.01.02.0002,2026,,,SBU,5.1.01.01.002.00002 - Belanja Tunjangan Keluarga PPPK
5.1.01.01.03,5.1.01.01.003,Belanja Tunjangan Jabatan ASN,,2026,,,,5.1.01.01.003 - Belanja Tunjangan Jabatan ASN
5.1.01.01.03.0001,5.1.01.01.003.00001,Belanja Tunjangan Jabatan PNS,8.1.01.01.03.0001,2026,,,SBU,5.1.01.01.003.00001 - Belanja Tunjangan Jabatan PNS
5.1.01.01.03.0002,5.1.01.01.003.00002,Belanja Tunjangan Jabatan PPPK,8.1.01.01.03.0002,2026,,,SBU,5.1.01.01.003.00002 - Belanja Tunjangan Jabatan PPPK
5.1.01.01.04,5.1.01.01.004,Belanja Tunjangan Fungsional ASN,,2026,,,,5.1.01.01.004 - Belanja Tunjangan Fungsional ASN
5.1.01.01.04.0001,5.1.01.01.004.00001,Belanja Tunjangan Fungsional PNS,8.1.01.01.04.0001,2026,,,SBU,5.1.01.01.004.00001 - Belanja Tunjangan Fungsional PNS
5.1.01.01.04.0002,5.1.01.01.004.00002,Belanja Tunjangan Fungsional PPPK,8.1.01.01.04.0002,2026,,,SBU,5.1.01.01.004.00002 - Belanja Tunjangan Fungsional PPPK
5.1.01.01.05,5.1.01.01.005,Belanja Tunjangan Fungsional Umum ASN,,2026,,,,5.1.01.01.005 - Belanja Tunjangan Fungsional Umum ASN
5.1.01.01.05.0001,5.1.01.01.005.00001,Belanja Tunjangan Fungsional Umum PNS,8.1.01.01.05.0001,2026,,,SBU,5.1.01.01.005.00001 - Belanja Tunjangan Fungsional Umum PNS
5.1.01.01.05.0002,5.1.01.01.005.00002,Belanja Tunjangan Fungsional Umum PPPK,8.1.01.01.05.0002,2026,,,SBU,5.1.01.01.005.00002 - Belanja Tunjangan Fungsional Umum PPPK
5.1.01.01.06,5.1.01.01.006,Belanja Tunjangan Beras ASN,,2026,,,,5.1.01.01.006 - Belanja Tunjangan Beras ASN
5.1.01.01.06.0001,5.1.01.01.006.00001,Belanja Tunjangan Beras PNS,8.1.01.01.06.0001,2026,,,SBU,5.1.01.01.006.00001 - Belanja Tunjangan Beras PNS
5.1.01.01.06.0002,5.1.01.01.006.00002,Belanja Tunjangan Beras PPPK,8.1.01.01.06.0002,2026,,,SBU,5.1.01.01.006.00002 - Belanja Tunjangan Beras PPPK
5.1.01.01.07,5.1.01.01.007,Belanja Tunjangan PPh/Tunjangan Khusus ASN,,2026,,,,5.1.01.01.007 - Belanja Tunjangan PPh/Tunjangan Khusus ASN
5.1.01.01.07.0001,5.1.01.01.007.00001,Belanja Tunjangan PPh/Tunjangan Khusus PNS,8.1.01.01.07.0001,2026,,,SBU,5.1.01.01.007.00001 - Belanja Tunjangan PPh/Tunjangan Khusus PNS
5.1.01.01.07.0002,5.1.01.01.007.00002,Belanja Tunjangan PPh/Tunjangan Khusus PPPK,8.1.01.01.07.0002,2026,,,SBU,5.1.01.01.007.00002 - Belanja Tunjangan PPh/Tunjangan Khusus PPPK
5.1.01.01.08,5.1.01.01.008,Belanja Pembulatan Gaji ASN,,2026,,,,5.1.01.01.008 - Belanja Pembulatan Gaji ASN
5.1.01.01.08.0001,5.1.01.01.008.00001,Belanja Pembulatan Gaji PNS,8.1.01.01.08.0001,2026,,,SBU,5.1.01.01.008.00001 - Belanja Pembulatan Gaji PNS
5.1.01.01.08.0002,5.1.01.01.008.00002,Belanja Pembulatan Gaji PPPK,8.1.01.01.08.0002,2026,,,SBU,5.1.01.01.008.00002 - Belanja Pembulatan Gaji PPPK
5.1.01.01.09,5.1.01.01.009,Belanja Iuran Jaminan Kesehatan ASN,,2026,,,,5.1.01.01.009 - Belanja Iuran Jaminan Kesehatan ASN
5.1.01.01.09.0001,5.1.01.01.009.00001,Belanja Iuran Jaminan Kesehatan PNS,8.1.01.01.09.0001,2026,,,SBU,5.1.01.01.009.00001 - Belanja Iuran Jaminan Kesehatan PNS
5.1.01.01.09.0002,5.1.01.01.009.00002,Belanja Iuran Jaminan Kesehatan PPPK,8.1.01.01.09.0002,2026,,,SBU,5.1.01.01.009.00002 - Belanja Iuran Jaminan Kesehatan PPPK
5.1.01.01.10,5.1.01.01.010,Belanja Iuran Jaminan Kecelakaan Kerja ASN,,2026,,,,5.1.01.01.010 - Belanja Iuran Jaminan Kecelakaan Kerja ASN
5.1.01.01.10.0001,5.1.01.01.010.00001,Belanja Iuran Jaminan Kecelakaan Kerja PNS,8.1.01.01.10.0001,2026,,,SBU,5.1.01.01.010.00001 - Belanja Iuran Jaminan Kecelakaan Kerja PNS
5.1.01.01.10.0002,5.1.01.01.010.00002,Belanja Iuran Jaminan Kecelakaan Kerja PPPK,8.1.01.01.10.0002,2026,,,SBU,5.1.01.01.010.00002 - Belanja Iuran Jaminan Kecelakaan Kerja PPPK
5.1.01.01.11,5.1.01.01.011,Belanja Iuran Jaminan Kematian ASN,,2026,,,,5.1.01.01.011 - Belanja Iuran Jaminan Kematian ASN
5.1.01.01.11.0001,5.1.01.01.011.00001,Belanja Iuran Jaminan Kematian PNS,8.1.01.01.11.0001,2026,,,SBU,5.1.01.01.011.00001 - Belanja Iuran Jaminan Kematian PNS
5.1.01.01.11.0002,5.1.01.01.011.00002,Belanja Iuran Jaminan Kematian PPPK,8.1.01.01.11.0002,2026,,,SBU,5.1.01.01.011.00002 - Belanja Iuran Jaminan Kematian PPPK
5.1.01.01.12,5.1.01.01.012,Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat ASN,,2026,,,,5.1.01.01.012 - Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat ASN
5.1.01.01.12.0001,5.1.01.01.012.00001,Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PNS,8.1.01.01.12.0001,2026,,,SBU,5.1.01.01.012.00001 - Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PNS
5.1.01.01.12.0002,5.1.01.01.012.00002,Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PPPK,8.1.01.01.12.0002,2026,,,SBU,5.1.01.01.012.00002 - Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PPPK
5.1.01.01.13,5.1.01.01.013,Belanja Jaminan Hari Tua ASN,,2026,,,,5.1.01.01.013 - Belanja Jaminan Hari Tua ASN
5.1.01.01.13.0001,5.1.01.01.013.00001,Belanja Jaminan Hari Tua PNS,8.1.01.01.13.0001,2026,,,SBU,5.1.01.01.013.00001 - Belanja Jaminan Hari Tua PNS
5.1.01.01.14,5.1.01.01.014,Belanja Tunjangan Khusus*),,2026,,,,5.1.01.01.014 - Belanja Tunjangan Khusus*)
5.1.01.01.14.0001,5.1.01.01.014.00001,Belanja Tunjangan Khusus*),8.1.01.01.14.0001,2026,,,SBU,5.1.01.01.014.00001 - Belanja Tunjangan Khusus*)
5.1.01.01.15,5.1.01.01.015,Belanja Zakat ASN,,2026,,,,5.1.01.01.015 - Belanja Zakat ASN
5.1.01.01.15.0001,5.1.01.01.015.00001,Belanja Zakat PNS,8.1.01.01.15.0001,2026,,,SBU,5.1.01.01.015.00001 - Belanja Zakat PNS
5.1.01.01.15.0002,5.1.01.01.015.00002,Belanja Zakat PPPK,8.1.01.01.15.0002,2026,,,SBU,5.1.01.01.015.00002 - Belanja Zakat PPPK
0,5.1.01.02,Belanja Tambahan Penghasilan ASN,,2026,,,,5.1.01.02 - Belanja Tambahan Penghasilan ASN
5.1.01.02.01,5.1.01.02.001,Tambahan Penghasilan berdasarkan Beban Kerja ASN,,2026,,,,5.1.01.02.001 - Tambahan Penghasilan berdasarkan Beban Kerja ASN
5.1.01.02.01.0001,5.1.01.02.001.00001,Tambahan Penghasilan berdasarkan Beban Kerja PNS,8.1.01.02.01.0001,2026,,,SBU,5.1.01.02.001.00001 - Tambahan Penghasilan berdasarkan Beban Kerja PNS
5.1.01.02.01.0002,5.1.01.02.001.00002,Tambahan Penghasilan berdasarkan Beban Kerja PPPK,8.1.01.02.01.0002,2026,,,SBU,5.1.01.02.001.00002 - Tambahan Penghasilan berdasarkan Beban Kerja PPPK
5.1.01.02.02,5.1.01.02.002,Tambahan Penghasilan berdasarkan Tempat Bertugas ASN,,2026,,,,5.1.01.02.002 - Tambahan Penghasilan berdasarkan Tempat Bertugas ASN
5.1.01.02.02.0001,5.1.01.02.002.00001,Tambahan Penghasilan berdasarkan Tempat Bertugas PNS,8.1.01.02.02.0001,2026,,,SBU,5.1.01.02.002.00001 - Tambahan Penghasilan berdasarkan Tempat Bertugas PNS
5.1.01.02.02.0002,5.1.01.02.002.00002,Tambahan Penghasilan berdasarkan Tempat Bertugas PPPK,8.1.01.02.02.0002,2026,,,SBU,5.1.01.02.002.00002 - Tambahan Penghasilan berdasarkan Tempat Bertugas PPPK
5.1.01.02.03,5.1.01.02.003,Tambahan Penghasilan berdasarkan Kondisi Kerja ASN,,2026,,,,5.1.01.02.003 - Tambahan Penghasilan berdasarkan Kondisi Kerja ASN
5.1.01.02.03.0001,5.1.01.02.003.00001,Tambahan Penghasilan berdasarkan Kondisi Kerja PNS,8.1.01.02.03.0001,2026,,,SBU,5.1.01.02.003.00001 - Tambahan Penghasilan berdasarkan Kondisi Kerja PNS
5.1.01.02.03.0002,5.1.01.02.003.00002,Tambahan Penghasilan berdasarkan Kondisi Kerja PPPK,8.1.01.02.03.0002,2026,,,SBU,5.1.01.02.003.00002 - Tambahan Penghasilan berdasarkan Kondisi Kerja PPPK
5.1.01.02.04,5.1.01.02.004,Tambahan Penghasilan berdasarkan Kelangkaan Profesi ASN,,2026,,,,5.1.01.02.004 - Tambahan Penghasilan berdasarkan Kelangkaan Profesi ASN
5.1.01.02.04.0001,5.1.01.02.004.00001,Tambahan Penghasilan berdasarkan Kelangkaan Profesi PNS,8.1.01.02.04.0001,2026,,,SBU,5.1.01.02.004.00001 - Tambahan Penghasilan berdasarkan Kelangkaan Profesi PNS
5.1.01.02.04.0002,5.1.01.02.004.00002,Tambahan Penghasilan berdasarkan Kelangkaan Profesi PPPK,8.1.01.02.04.0002,2026,,,SBU,5.1.01.02.004.00002 - Tambahan Penghasilan berdasarkan Kelangkaan Profesi PPPK
5.1.01.02.05,5.1.01.02.005,Tambahan Penghasilan berdasarkan Prestasi Kerja ASN,,2026,,,,5.1.01.02.005 - Tambahan Penghasilan berdasarkan Prestasi Kerja ASN
5.1.01.02.05.0001,5.1.01.02.005.00001,Tambahan Penghasilan berdasarkan Prestasi Kerja PNS,8.1.01.02.05.0001,2026,,,SBU,5.1.01.02.005.00001 - Tambahan Penghasilan berdasarkan Prestasi Kerja PNS
5.1.01.02.05.0002,5.1.01.02.005.00002,Tambahan Penghasilan berdasarkan Prestasi Kerja PPPK,8.1.01.02.05.0002,2026,,,SBU,5.1.01.02.005.00002 - Tambahan Penghasilan berdasarkan Prestasi Kerja PPPK
5.1.01.02.06,5.1.01.02.006,Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN,,2026,,,,5.1.01.02.006 - Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN
5.1.01.02.06.0001,5.1.01.02.006.00001,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Kendaraan Bermotor ,8.1.01.03.01.0001,2026,,,SBU,5.1.01.02.006.00001 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Kendaraan Bermotor 
5.1.01.02.06.0002,5.1.01.02.006.00002,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Bea Balik Nama Kendaraan Bermotor ,8.1.01.03.01.0002,2026,,,SBU,5.1.01.02.006.00002 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Bea Balik Nama Kendaraan Bermotor 
5.1.01.02.06.0003,5.1.01.02.006.00003,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Bahan Bakar Kendaraan Bermotor,8.1.01.03.01.0003,2026,,,SBU,5.1.01.02.006.00003 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Bahan Bakar Kendaraan Bermotor
5.1.01.02.06.0004,5.1.01.02.006.00004,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Air Permukaan ,8.1.01.03.01.0004,2026,,,SBU,5.1.01.02.006.00004 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Air Permukaan 
5.1.01.02.06.0005,5.1.01.02.006.00005,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Rokok ,8.1.01.03.01.0005,2026,,,SBU,5.1.01.02.006.00005 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Rokok 
5.1.01.02.06.0006,5.1.01.02.006.00006,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Hotel ,8.1.01.03.01.0006,2026,,,SBU,5.1.01.02.006.00006 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Hotel 
5.1.01.02.06.0007,5.1.01.02.006.00007,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Restoran ,8.1.01.03.01.0007,2026,,,SBU,5.1.01.02.006.00007 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Restoran 
5.1.01.02.06.0008,5.1.01.02.006.00008,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Hiburan ,8.1.01.03.01.0008,2026,,,SBU,5.1.01.02.006.00008 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Hiburan 
5.1.01.02.06.0009,5.1.01.02.006.00009,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Reklame ,8.1.01.03.01.0009,2026,,,SBU,5.1.01.02.006.00009 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Reklame 
5.1.01.02.06.0010,5.1.01.02.006.00010,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Penerangan Jalan ,8.1.01.03.01.0010,2026,,,SBU,5.1.01.02.006.00010 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Penerangan Jalan 
5.1.01.02.06.0011,5.1.01.02.006.00011,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Parkir ,8.1.01.03.01.0011,2026,,,SBU,5.1.01.02.006.00011 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Parkir 
5.1.01.02.06.0012,5.1.01.02.006.00012,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Air Tanah,8.1.01.03.01.0012,2026,,,SBU,5.1.01.02.006.00012 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Air Tanah
5.1.01.02.06.0013,5.1.01.02.006.00013,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Sarang Burung Walet ,8.1.01.03.01.0013,2026,,,SBU,5.1.01.02.006.00013 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Sarang Burung Walet 
5.1.01.02.06.0014,5.1.01.02.006.00014,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Mineral Bukan Logam dan Batuan,8.1.01.03.01.0014,2026,,,SBU,5.1.01.02.006.00014 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Mineral Bukan Logam dan Batuan
5.1.01.02.06.0015,5.1.01.02.006.00015,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Bumi Dan Bangunan Pedesaan dan Perkotaan ,8.1.01.03.01.0015,2026,,,SBU,5.1.01.02.006.00015 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Bumi Dan Bangunan Pedesaan dan Perkotaan 
5.1.01.02.06.0016,5.1.01.02.006.00016,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Bea Perolehan Hak atas Tanah dan Bangunan,8.1.01.03.01.0016,2026,,,SBU,5.1.01.02.006.00016 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Bea Perolehan Hak atas Tanah dan Bangunan
5.1.01.02.06.0017,5.1.01.02.006.00017,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Alat Berat,no code,2026,,,SBU,5.1.01.02.006.00017 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Alat Berat
5.1.01.02.06.0018,5.1.01.02.006.00018,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Opsen Pajak Mineral Bukan Logam dan Batuan (MBLB),no code,2026,,,SBU,5.1.01.02.006.00018 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Opsen Pajak Mineral Bukan Logam dan Batuan (MBLB)
5.1.01.02.06.0019,5.1.01.02.006.00019,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Barang dan Jasa Tertentu (PBJT),no code,2026,,,SBU,5.1.01.02.006.00019 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Pajak Barang dan Jasa Tertentu (PBJT)
5.1.01.02.06.0020,5.1.01.02.006.00020,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Opsen Pajak Kendaraan Bermotor (PKB),no code,2026,,,SBU,5.1.01.02.006.00020 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Opsen Pajak Kendaraan Bermotor (PKB)
5.1.01.02.06.0021,5.1.01.02.006.00021,Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Opsen Bea Balik Nama Kendaraan Bermotor (BBNKB),no code,2026,,,SBU,5.1.01.02.006.00021 - Belanja Insentif bagi ASN atas Pemungutan Pajak Daerah-Opsen Bea Balik Nama Kendaraan Bermotor (BBNKB)
5.1.01.02.06.0022,5.1.01.02.006.00022,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Kesehatan ,8.1.01.03.02.0001,2026,,,SBU,5.1.01.02.006.00022 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Kesehatan 
5.1.01.02.06.0023,5.1.01.02.006.00023,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Persampahan/Kebersihan ,8.1.01.03.02.0002,2026,,,SBU,5.1.01.02.006.00023 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Persampahan/Kebersihan 
5.1.01.02.06.0024,5.1.01.02.006.00024,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Pemakaman dan Pengabuan Mayat,8.1.01.03.02.0003,2026,,,SBU,5.1.01.02.006.00024 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Pemakaman dan Pengabuan Mayat
5.1.01.02.06.0025,5.1.01.02.006.00025,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Parkir di Tepi Jalan Umum ,8.1.01.03.02.0004,2026,,,SBU,5.1.01.02.006.00025 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Parkir di Tepi Jalan Umum 
5.1.01.02.06.0026,5.1.01.02.006.00026,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Pasar ,8.1.01.03.02.0005,2026,,,SBU,5.1.01.02.006.00026 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Pasar 
5.1.01.02.06.0027,5.1.01.02.006.00027,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pengujian Kendaraan Bermotor ,8.1.01.03.02.0006,2026,,,SBU,5.1.01.02.006.00027 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pengujian Kendaraan Bermotor 
5.1.01.02.06.0028,5.1.01.02.006.00028,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pemeriksaan Alat Pemadam Kebakaran,8.1.01.03.02.0007,2026,,,SBU,5.1.01.02.006.00028 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pemeriksaan Alat Pemadam Kebakaran
5.1.01.02.06.0029,5.1.01.02.006.00029,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Penggantian Biaya Cetak Peta ,8.1.01.03.02.0008,2026,,,SBU,5.1.01.02.006.00029 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Penggantian Biaya Cetak Peta 
5.1.01.02.06.0030,5.1.01.02.006.00030,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Penyediaan dan/atau Penyedotan Kakus yang Dilakukan oleh Pemerintah Daerah,no code,2026,,,SBU,5.1.01.02.006.00030 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Penyediaan dan/atau Penyedotan Kakus yang Dilakukan oleh Pemerintah Daerah
5.1.01.02.06.0031,5.1.01.02.006.00031,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pengolahan Limbah Cair  ,8.1.01.03.02.0010,2026,,,SBU,5.1.01.02.006.00031 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pengolahan Limbah Cair  
5.1.01.02.06.0032,5.1.01.02.006.00032,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Tera/Tera Ulang ,8.1.01.03.02.0011,2026,,,SBU,5.1.01.02.006.00032 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Tera/Tera Ulang 
5.1.01.02.06.0033,5.1.01.02.006.00033,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Pendidikan ,8.1.01.03.02.0012,2026,,,SBU,5.1.01.02.006.00033 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pelayanan Pendidikan 
5.1.01.02.06.0034,5.1.01.02.006.00034,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pengawasan dan Pengendalian Menara Telekomunikasi ,8.1.01.03.02.0013,2026,,,SBU,5.1.01.02.006.00034 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Umum-Pengawasan dan Pengendalian Menara Telekomunikasi 
5.1.01.02.06.0035,5.1.01.02.006.00035,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Pemakaian Kekayaan Daerah ,8.1.01.03.02.0014,2026,,,SBU,5.1.01.02.006.00035 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Pemakaian Kekayaan Daerah 
5.1.01.02.06.0036,5.1.01.02.006.00036,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Pasar Grosir dan/atau Pertokoan ,8.1.01.03.02.0015,2026,,,SBU,5.1.01.02.006.00036 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Pasar Grosir dan/atau Pertokoan 
5.1.01.02.06.0037,5.1.01.02.006.00037,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Pelelangan ,8.1.01.03.02.0016,2026,,,SBU,5.1.01.02.006.00037 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Pelelangan 
5.1.01.02.06.0038,5.1.01.02.006.00038,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Terminal ,8.1.01.03.02.0017,2026,,,SBU,5.1.01.02.006.00038 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Terminal 
5.1.01.02.06.0039,5.1.01.02.006.00039,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Khusus Parkir ,8.1.01.03.02.0018,2026,,,SBU,5.1.01.02.006.00039 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Khusus Parkir 
5.1.01.02.06.0040,5.1.01.02.006.00040,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Penginapan/Pesanggrahan/Vila ,8.1.01.03.02.0019,2026,,,SBU,5.1.01.02.006.00040 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Penginapan/Pesanggrahan/Vila 
5.1.01.02.06.0041,5.1.01.02.006.00041,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Rumah Potong Hewan ,8.1.01.03.02.0020,2026,,,SBU,5.1.01.02.006.00041 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Rumah Potong Hewan 
5.1.01.02.06.0042,5.1.01.02.006.00042,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Pelayanan Kepelabuhanan,8.1.01.03.02.0021,2026,,,SBU,5.1.01.02.006.00042 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Pelayanan Kepelabuhanan
5.1.01.02.06.0043,5.1.01.02.006.00043,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Rekreasi dan Olahraga ,8.1.01.03.02.0022,2026,,,SBU,5.1.01.02.006.00043 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Tempat Rekreasi dan Olahraga 
5.1.01.02.06.0044,5.1.01.02.006.00044,Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Penyeberangan Air ,8.1.01.03.02.0023,2026,,,SBU,5.1.01.02.006.00044 - Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa Usaha-Penyeberangan Air 
